age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,previous_ctc_lpa,expected_ctc_lpa,bond_requirement,notice_period_days,employment_gap_months,interview_score,experience_category,ssc_band,hsc_band,degree_band,ssc_score,hsc_score,degree_score,academic_score,academic_performance_band,skill_match_level,interview_performance,placement_prob_score,placement_prob_band,degree_specialization_Computer Science,degree_specialization_Electronics,degree_specialization_Information Technology,degree_specialization_Mechanical,degree_specialization_Others,career_switch_willingness_Not Willing,career_switch_willingness_Unknown,career_switch_willingness_Willing,relevant_experience_Not Relevant,relevant_experience_Relevant,relevant_experience_Unknown,company_tier_Tier 1,company_tier_Tier 2,company_tier_Tier 3,job_role_match_Matched,job_role_match_Not Matched,job_role_match_Unknown,competition_level_High,competition_level_Low,competition_level_Medium,layoff_history_No,layoff_history_Unknown,layoff_history_Yes,relocation_willingness_Not Willing,relocation_willingness_Unknown,relocation_willingness_Willing,status
21.0,0.0,50.0,60.58903978,73.01803477,59.25450437,60.69626297,63.60527806,72.29433264,1.0,1.0,1.0,1.014166402,8.081935593,0.0,15.0,0.0,183.55604540000002,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.3333333333333333,0.0,0.0,2.0,0.35795973368764256,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32.0,0.0,69.9357161,73.29824307,61.41190229,58.11048509,47.50532908,54.98781805,48.28142776,2.0,1.0,4.0,7.06348813,6.254703731,0.0,0.0,0.0,160.60363222,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.6666666666666667,0.0,1.0,0.0,0.249063535711265,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0,66.53413454,76.08046062,78.1081832,50.78264801,69.13517212,83.24367024,55.41980599,2.0,0.0,3.0,2.391364749,13.08538856,1.0,30.0,3.0,203.16149037,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.4194274902811362,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,0.0,59.72969155,75.59231852,79.55214793,71.19742711,55.68277439,73.23542435,62.80426088,3.0,1.0,1.0,3.578213573,11.50015697,0.0,0.0,0.0,200.11562585000001,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,1.0,2.0,0.431774682028197,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
23.0,1.0,70.77760476,81.45030448,69.87257205,88.57432836,62.36026713,64.71080379,75.09557351,1.0,1.0,1.0,5.223135905,10.16181722,0.0,90.0,18.0,215.64539928,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5348075530127478,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,1.0,76.46053762,66.08048721,62.43300507,42.66201488,40.0,72.73423848,88.24055791,1.0,1.0,0.0,4.861354875,6.847061451,0.0,0.0,0.0,155.39625336,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.3168737900759222,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,1.0,70.02087622,72.37843079,55.0,51.26574818,55.82000128,77.12961209,67.85651007,2.0,1.0,1.0,6.9973891,3.0,0.0,60.0,0.0,184.21536155,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.6666666666666667,0.0,1.0,2.0,0.3657060360970362,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23.0,1.0,64.42378713,75.04113307,73.30735404,72.20830603,73.21633603,74.00722703,70.08357474,1.0,1.0,4.0,6.841434876,3.0,1.0,0.0,3.0,219.43186909,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,0.0,2.0,0.5634929415593832,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
22.0,1.0,73.18889931,67.88545802,69.32952348,60.71378736,44.01119205,59.88082761,67.27292812,0.0,0.0,0.0,1.097217263,12.76385974,0.0,0.0,0.0,164.60580702,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.2726893609088783,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22.0,1.0,60.43456673,93.12853279,73.67029139,82.89342173,61.19521801,65.15759826,76.75987815,1.0,1.0,0.0,3.253268009,7.959980167,0.0,0.0,6.0,209.246238,0.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,0.49060403645689415,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
